iter	Logloss
0	0.6683173595
1	0.6473378251
2	0.6268660736
3	0.6179278749
4	0.6080701629
5	0.5951026462
6	0.5872776594
7	0.579583691
8	0.5745173252
9	0.5703901513
10	0.5665062141
11	0.5627076048
12	0.5545043596
13	0.5514847249
14	0.5485655224
15	0.5453016078
16	0.5429464046
17	0.5405723135
18	0.5384885332
19	0.5367416129
20	0.5331239487
21	0.5314551494
22	0.529856031
23	0.5284088729
24	0.5270710495
25	0.5256415528
26	0.524435105
27	0.5233984818
28	0.5223748124
29	0.5210815719
30	0.5201661958
31	0.5193999251
32	0.5185343984
33	0.5179749137
34	0.5173349738
35	0.5167556572
36	0.5162363376
37	0.5156103357
38	0.5151838275
39	0.5147914561
40	0.5142976977
41	0.5139192547
42	0.5134851073
43	0.5130812385
44	0.512698918
45	0.5122121819
46	0.5118286267
47	0.5114740572
48	0.5111387406
49	0.5107762709
50	0.5103989664
51	0.5101224987
52	0.5098461376
53	0.5096105971
54	0.5094190128
55	0.5091430951
56	0.5088817136
57	0.5086880263
58	0.5085107755
59	0.5083023972
60	0.508059873
61	0.5079088393
62	0.5077400189
63	0.507566221
64	0.5073812436
65	0.5072097419
66	0.5070699939
67	0.5068910356
68	0.506735777
69	0.5065823895
70	0.5064261952
71	0.5062993049
72	0.5061760509
73	0.5060017611
74	0.505828407
75	0.5056591909
76	0.5055363036
77	0.5054355726
78	0.5053122898
79	0.5052028968
80	0.5050287421
81	0.5048770813
82	0.5047337258
83	0.5046386956
84	0.5045774837
85	0.5044665861
86	0.5043840183
87	0.5043039966
88	0.504213278
89	0.5040769731
90	0.5039389516
91	0.5038581005
92	0.5037889591
93	0.5037213325
94	0.5036389382
95	0.5035293042
96	0.503433502
97	0.5033562009
98	0.503251959
99	0.5031599189
100	0.5030764732
101	0.5030472559
102	0.5030143156
103	0.5029200087
104	0.5028648252
105	0.5028082721
106	0.5027472432
107	0.5026992073
108	0.5026277418
109	0.5025821076
110	0.5025108254
111	0.5024326559
112	0.5023449661
113	0.5023097394
114	0.5022773199
115	0.5022214419
116	0.50220243
117	0.5021516161
118	0.5020937704
119	0.5020153792
120	0.5019841173
121	0.5019348082
122	0.5018978745
123	0.5018446683
124	0.5017923592
125	0.5017132637
126	0.5016396373
127	0.5016128606
128	0.501575792
129	0.5015255858
130	0.5014694762
131	0.5014153827
132	0.5013775229
133	0.5013553859
134	0.5013133399
135	0.5012719884
136	0.5012269235
137	0.5011790708
138	0.5011386454
139	0.501098953
140	0.5010632539
141	0.5010190762
142	0.5009730466
143	0.5009219816
144	0.5008899479
145	0.5008576152
146	0.5008146237
147	0.5007587166
148	0.5007085393
149	0.5006591143
150	0.5006129495
151	0.500584099
152	0.5005341241
153	0.5005053123
154	0.5004913355
155	0.5004700085
156	0.5004309526
157	0.5003966716
158	0.5003500052
159	0.5003243571
160	0.5002797647
161	0.5002524478
162	0.500190242
163	0.5001648833
164	0.5001349622
165	0.5000955301
166	0.500064654
167	0.5000202448
168	0.5000016284
169	0.4999716205
170	0.4999531586
171	0.4999321018
172	0.4999189837
173	0.4998958143
174	0.4998502766
175	0.4998254002
176	0.4997990672
177	0.4997733034
178	0.4997426008
179	0.4997172421
180	0.499672804
181	0.4996538018
182	0.4996226073
183	0.4995999687
184	0.4995994768
185	0.4995760182
186	0.4995433768
187	0.4995131084
188	0.4994698374
189	0.499442617
190	0.4994134096
191	0.4993789934
192	0.4993568757
193	0.4993349026
194	0.4993140678
195	0.4993104411
196	0.4992708065
197	0.4992434318
198	0.4992102503
199	0.4991906982
200	0.499179268
201	0.4991578833
202	0.4991229077
203	0.4991111012
204	0.4990784887
205	0.4990595155
206	0.4990201992
207	0.4989819151
208	0.4989556111
209	0.4989380461
210	0.4989113466
211	0.4988897692
212	0.4988789468
213	0.4988592212
214	0.4988411643
215	0.4988136641
216	0.4987864243
217	0.4987594547
218	0.4987377131
219	0.4987002006
220	0.4986706556
221	0.4986526952
222	0.498632738
223	0.4986152118
224	0.4986092797
225	0.498584982
226	0.4985688928
227	0.4985588998
228	0.4985294512
229	0.4985101114
230	0.4984981022
231	0.4984843763
232	0.4984635221
233	0.4984483107
234	0.4984371602
235	0.4984234342
236	0.4984035157
237	0.4983825555
238	0.4983609972
239	0.4983460462
240	0.498329658
241	0.4983253463
242	0.4983136171
243	0.4983061706
244	0.4983017914
245	0.4982864257
246	0.4982649639
247	0.4982463765
248	0.4982214229
249	0.4981912121
250	0.4981785185
251	0.4981712071
252	0.4981526487
253	0.4981395112
254	0.4981216762
255	0.4981093875
256	0.4981034167
257	0.4980921793
258	0.4980743443
259	0.4980523712
260	0.498023704
261	0.4980042388
262	0.4979819185
263	0.4979524313
264	0.4979437308
265	0.4979314806
266	0.4979062279
267	0.497896206
268	0.4978868209
269	0.4978694102
270	0.4978514305
271	0.4978389006
272	0.497825821
273	0.4978058831
274	0.4977847974
275	0.4977674158
276	0.4977504295
277	0.4977331539
278	0.4977172094
279	0.497700204
280	0.4976828995
281	0.4976751057
282	0.4976641771
283	0.497657261
284	0.4976349889
285	0.4976178291
286	0.4976014988
287	0.4975868565
288	0.4975664749
289	0.4975597905
290	0.4975470099
291	0.4975437014
292	0.4975332936
293	0.4975093045
294	0.4975001121
295	0.4974933891
296	0.497488788
297	0.4974793833
298	0.4974627058
299	0.4974454784
300	0.4974277399
301	0.4974095769
302	0.4973900441
303	0.4973711384
304	0.4973541329
305	0.4973399054
306	0.4973344748
307	0.4973278096
308	0.4973185207
309	0.4973146141
310	0.4972955347
311	0.4972785581
312	0.4972633081
313	0.4972480774
314	0.4972480195
315	0.4972391454
316	0.4972309465
317	0.4972208473
318	0.4972091855
319	0.4971964628
320	0.4971905789
321	0.4971826886
322	0.4971660497
323	0.4971463144
324	0.4971241772
325	0.4971059757
326	0.4970956547
327	0.4970797294
328	0.4970689455
329	0.4970448406
330	0.4970365742
331	0.4970313751
332	0.4970167521
333	0.4969939494
